,vbv-buf-capacity,trellis,sync-lookahead,quantizer,qp-min,qp-max,ip-factor,b-pyramid,MegaBytes
79,0,false,100,0,51,10,0,false,150.497 MegaBytes
80,0,false,100,0,51,10,2,true,150.244 MegaBytes
81,0,false,100,0,51,10,2,false,150.497 MegaBytes
82,0,false,100,0,51,51,0,true,3.142 MegaBytes
83,0,false,100,0,51,51,0,false,3.141 MegaBytes
84,0,false,100,0,51,51,2,true,3.142 MegaBytes
85,0,false,100,0,51,51,2,false,3.141 MegaBytes
86,0,false,100,50,10,10,0,true,150.244 MegaBytes
87,0,false,100,50,10,10,0,false,150.497 MegaBytes
88,0,false,100,50,10,10,2,true,150.244 MegaBytes
89,0,false,100,50,10,10,2,false,150.497 MegaBytes
90,0,false,100,50,10,51,0,true,14.473 MegaBytes
91,0,false,100,50,10,51,0,false,14.466 MegaBytes
92,0,false,100,50,10,51,2,true,14.606 MegaBytes
93,0,false,100,50,10,51,2,false,14.601 MegaBytes
94,0,false,100,50,51,10,0,true,150.244 MegaBytes
95,0,false,100,50,51,10,0,false,150.497 MegaBytes
